GeneID	chr	start	end	labelCoord	FayWu_H	Fst	FuLi_D	FuLi_F	iHS	Tajima_D	label	stat	pops	source
CLEC6A	chr12	8601942	8625441	chr12:8601942-8625441	-7.54	0.165	-5.307	-4.831	2.552	-2.783	FayWu_H:CHS:-7.54,KHV:-7.431,Tajima_D:CHS:-2.64,KHV:-2.783	FayWu_H,Tajima_D	CHS,KHV	PopHumanScan
CLEC2A,KLRF2	chr12	10047266	10067266	chr12:10047266-10067266	-5.485	0.069	-4.314	-3.967	0.896	-2.314	FayWu_H:ACB:-5.072,ASW:-4.642,LWK:-5.313,YRI:-5.485	FayWu_H	ACB,ASW,LWK,YRI	PopHumanScan
CLEC1A	chr12	10241071	10251071	chr12:10241071-10251071	-2.54	0.266	1.57	3.227	1.753	4.026	Fst:CEU2CHB:0.266	Fst	CEU2CHB	PopHumanScan
KLRD1	chr12	10410107	10420107	chr12:10410107-10420107	-5.976	0.219	-3.235	-3.055	1.551	-2.072	Fst:CEU2YRI:0.219	Fst	CEU2YRI	PopHumanScan
nonCoding62455	chr12	10678801	10688801	chr12:10678801-10688801	-2.683	0.076	2.481	-2.154	1.806	2.033	FuLi_D:YRI:2.481	FuLi_D	YRI	PopHumanScan
nonCoding62465	chr12	10937973	10947973	chr12:10937973-10947973	-7.728	0.083	2.097	1.433	1.434	-1.818	FayWu_H:CHB:-7.177,CHS:-7.412,FIN:-7.537,GIH:-7.365,GWD:-5.356,ITU:-7.198,JPT:-7.728,PJL:-6.821,STU:-6.934	FayWu_H	CHB,CHS,FIN,GIH,GWD,ITU,JPT,PJL,STU	PopHumanScan
PRR4,TAS2R14,PRH1,AC018630.6	chr12	11114200	11124200	chr12:11114200-11124200	-5.392	0.026	2.47	3.098	1.234	3.591	FuLi_D:PJL:2.47	FuLi_D	PJL	PopHumanScan
PRR4,TAS2R50,TAS2R14,PRH1,AC018630.6,TAS2R20	chr12	11135776	11165776	chr12:11135776-11165776	-3.424	0.343	2.274	3.661	1.168	4.14	Fst:YRI2CHB:0.343	Fst	YRI2CHB	PopHumanScan
PRR4,TAS2R14,PRH1,AC018630.6,TAS2R46	chr12	11195267	11268835	chr12:11195267-11268835	-1.383	0.095	-6.193	-4.635	5.769	2.066	iHS:ASW:5.452,BEB:5.513,CDX:5.269,CHB:5.49,CHS:5.73,ESN:3.99,FIN:4.304,GIH:5.246,GWD:3.574,IBS:3.199,ITU:5.388,JPT:5.769,KHV:5.632,LWK:3.331,MSL:4.226,PJL:5.287,STU:5.3,TSI:4.279,YRI:4.343	iHS	ASW,BEB,CDX,CHB,CHS,ESN,FIN,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,PJL,STU,TSI,YRI	PopHumanScan
PRR4,TAS2R14,PRH1,TAS2R30,AC018630.6	chr12	11278835	11298835	chr12:11278835-11298835	-2.021	0.133	-2.412	2.943	2.712	3.713	XPEHH:YRI2CHB:2.809	XPEHH	YRI2CHB	PopHumanScan
nonCoding62504	chr12	13310121	13320121	chr12:13310121-13320121	-5.187	0.039	-3.878	-3.809	1.231	-2.329	FayWu_H:GWD:-5.187	FayWu_H	GWD	PopHumanScan
GUCY2C	chr12	14795272	14805272	chr12:14795272-14805272	-3.301	0.085	-6.418	-6.05	1.245	-2.295	FuLi_D:PJL:-6.418,Alpha:ACB:0.943	FuLi_D	PJL,ACB	PopHumanScan
PTPRO	chr12	15522393	15532393	chr12:15522393-15532393	-7.82	0.189	-2.713	-2.198	1.231	-2.134	FayWu_H:CEU:-7.82,TSI:-7.312	FayWu_H	CEU,TSI	PopHumanScan
PTPRO	chr12	15712698	15722698	chr12:15712698-15722698	-4.327	0.063	-7.423	-6.078	0.942	-2.232	FuLi_D:TSI:-7.423	FuLi_D	TSI	PopHumanScan
nonCoding62670	chr12	18160336	18170336	chr12:18160336-18170336	-5.259	0.061	-5.633	-4.626	1.179	-2.205	FuLi_D:ASW:-5.633	FuLi_D	ASW	PopHumanScan
AEBP2	chr12	19815648	19847438	chr12:19815648-19847438	2.328	0.1	2.084	3.519	0.848	4.395	FuLi_D:BEB:2.084	FuLi_D	BEB	PopHumanScan
SLCO1C1	chr12	20893830	20903830	chr12:20893830-20903830	-3.429	0.253	2.464	3.918	1.96	4.166	Fst:CEU2YRI:0.241,YRI2CHB:0.253	Fst	CEU2YRI,YRI2CHB	PopHumanScan
SLCO1B3,AC011604.2	chr12	20987466	21043170	chr12:20987466-21043170	15.782	0.224	-2.579	16.106	5.665	38.224	FayWu_H:ACB:12.865,ASW:13.702,CDX:15.782,CHS:12.913,ESN:13.367,JPT:14.472,KHV:14.294,MSL:13.113,YRI:13.883,Fst:CEU2YRI:0.224,FuLi_F:CDX:16.106,CHS:12.488,JPT:14.242,iHS:ACB:3.561,LWK:5.665,Tajima_D:CDX:38.224,JPT:35.136	FayWu_H,Fst,FuLi_F,iHS,Tajima_D	ACB,ASW,CDX,CHS,ESN,JPT,KHV,MSL,YRI,CEU2YRI,LWK	PopHumanScan
AC011604.2	chr12	21101413	21172453	chr12:21101413-21172453	-5.143	0.315	2.193	1.752	1.55	1.837	Fst:CEU2YRI:0.315,YRI2CHB:0.302	Fst	CEU2YRI,YRI2CHB	PopHumanScan
SLCO1A2	chr12	21491877	21501877	chr12:21491877-21501877	-4.268	0.098	-5.044	-4.834	1.558	-2.675	Tajima_D:KHV:-2.675	Tajima_D	KHV	PopHumanScan
LDHB	chr12	21777730	21813261	chr12:21777730-21813261	-6.879	0.107	-5.579	-5.178	2.445	-2.73	FayWu_H:IBS:-6.879,Tajima_D:BEB:-2.704,IBS:-2.65,PJL:-2.682,STU:-2.73,TSI:-2.698	FayWu_H,Tajima_D	IBS,BEB,PJL,STU,TSI	PopHumanScan
nonCoding62749	chr12	21927986	21947986	chr12:21927986-21947986	-3.237	0.022	-4.986	-4.405	1.414	-2.367	Tajima_D:ESN:-2.367	Tajima_D	ESN	PopHumanScan
C2CD5	chr12	22683250	22693250	chr12:22683250-22693250	-7.911	0.125	-2.351	-2.69	2.004	-2.088	FayWu_H:GBR:-7.494,JPT:-7.911	FayWu_H	GBR,JPT	PopHumanScan
CCDC91	chr12	28426954	28570909	chr12:28426954-28570909	-2.183	0.06	-6.203	-5.496	3.246	-2.434	FuLi_D:ESN:-6.203,MSL:-6.202,FuLi_F:ESN:-5.423,MSL:-5.496,iHS:GIH:3.246,Tajima_D:MSL:-2.434	FuLi_D,FuLi_F,iHS,Tajima_D	ESN,MSL,GIH	PopHumanScan
nonCoding63042	chr12	30556026	30566026	chr12:30556026-30566026	-5.386	0.297	-3.36	-2.987	1.85	2.301	Fst:CEU2YRI:0.277,YRI2CHB:0.297	Fst	CEU2YRI,YRI2CHB	PopHumanScan
nonCoding63076	chr12	31407523	31417523	chr12:31407523-31417523	-1.618	0.049	2.172	2.306	1.101	1.665	FuLi_D:ITU:2.172	FuLi_D	ITU	PopHumanScan
FAM60A	chr12	31434291	31454291	chr12:31434291-31454291	-4.044	0.056	-5.796	-5.141	1.553	-2.351	Tajima_D:ESN:-2.351	Tajima_D	ESN	PopHumanScan
DENND5B	chr12	31552266	31562266	chr12:31552266-31562266	-1.246	0.055	-2.287	-1.822	3.969	0.972	iHS:ACB:3.435,ASW:3.495,ESN:3.719,MSL:3.969	iHS	ACB,ASW,ESN,MSL	PopHumanScan
nonCoding63104	chr12	33095938	33124998	chr12:33095938-33124998	-3.011	0.274	1.962	2.727	1.712	2.922	Fst:CEU2CHB:0.274	Fst	CEU2CHB	PopHumanScan
nonCoding63121	chr12	33359402	33408305	chr12:33359402-33408305	-4.413	0.286	1.916	2.342	1.766	2.623	Fst:CEU2CHB:0.286	Fst	CEU2CHB	PopHumanScan
nonCoding63140	chr12	33717631	33737631	chr12:33717631-33737631	-0.915	0.09	2.147	1.411	1.445	1.649	FuLi_D:GWD:2.147	FuLi_D	GWD	PopHumanScan
nonCoding63180	chr12	34364961	34374961	chr12:34364961-34374961	-4.68	0.098	-5.794	-5.25	0.853	-2.672	Tajima_D:KHV:-2.672	Tajima_D	KHV	PopHumanScan
nonCoding63299,nonCoding63298	chr12	39362786	39382786	chr12:39362786-39382786	-7.511	0.13	-2.341	2.85	3.242	3.757	FayWu_H:JPT:-7.511,iHS:GBR:3.242	FayWu_H,iHS	JPT,GBR	PopHumanScan
nonCoding63336	chr12	40822678	40832678	chr12:40822678-40832678	-4.759	0.032	2.275	-2.498	1.667	1.608	FuLi_D:CEU:2.275	FuLi_D	CEU	PopHumanScan
PPHLN1	chr12	42744032	42804222	chr12:42744032-42804222	-2.104	0.044	-2.938	-2.283	3.292	1.742	iHS:LWK:3.292	iHS	LWK	PopHumanScan
nonCoding63393	chr12	43003968	43013968	chr12:43003968-43013968	-7.429	0.114	2.43	-2.089	1.996	1.418	FayWu_H:FIN:-7.429	FayWu_H	FIN	PopHumanScan
nonCoding63445	chr12	43643433	43653433	chr12:43643433-43653433	-3.977	0.078	2.373	2.603	1.607	3.128	FuLi_D:GBR:2.373	FuLi_D	GBR	PopHumanScan
TMEM117	chr12	44239262	44249262	chr12:44239262-44249262	-3.767	0.09	-6.858	-5.473	2.141	-2.289	FuLi_D:CEU:-6.858	FuLi_D	CEU	PopHumanScan
nonCoding63470	chr12	44850171	44874524	chr12:44850171-44874524	-6.24	0.061	-6.058	-5.499	1.292	-2.648	Tajima_D:ITU:-2.648	Tajima_D	ITU	PopHumanScan
NELL2	chr12	45025075	45035075	chr12:45025075-45035075	-1.967	0.048	-6.748	-5.667	1.096	-1.875	FuLi_D:PJL:-6.748,FuLi_F:PJL:-5.667	FuLi_D,FuLi_F	PJL	PopHumanScan
nonCoding63482	chr12	45550980	45560980	chr12:45550980-45560980	-8.073	0.118	-4.65	-4.426	1.721	-2.625	FayWu_H:IBS:-8.073	FayWu_H	IBS	PopHumanScan
ARID2	chr12	46152607	46185174	chr12:46152607-46185174	-2.174	0.042	-5.876	-4.744	1.735	-1.788	FuLi_D:YRI:-5.876	FuLi_D	YRI	PopHumanScan
SLC38A1	chr12	46663283	46673283	chr12:46663283-46673283	-1.532	0.024	-7.365	-6.227	1.277	-2.301	FuLi_D:TSI:-7.365,FuLi_F:TSI:-6.227	FuLi_D,FuLi_F	TSI	PopHumanScan
OR10AD1	chr12	48590586	48600586	chr12:48590586-48600586	-4.299	0.075	2.169	2.263	1.103	1.792	FuLi_D:IBS:2.169	FuLi_D	IBS	PopHumanScan
C12orf54	chr12	48873256	48904756	chr12:48873256-48904756	11.373	0.164	-1.711	19.424	1.115	48.905	FuLi_F:BEB:19.07,CDX:15.056,CHB:12.032,CHS:12.817,FIN:14.198,GIH:19.424,IBS:12.078,ITU:15.704,JPT:14.497,STU:18.363,TSI:14.802,YRI:14.944,Tajima_D:BEB:48.313,CDX:37.818,CHS:33.319,FIN:36.822,GIH:48.905,ITU:40.86,STU:46.991,TSI:36.755,YRI:37.076	FuLi_F,Tajima_D	BEB,CDX,CHB,CHS,FIN,GIH,IBS,ITU,JPT,STU,TSI,YRI	PopHumanScan
SPATS2	chr12	49892004	49902004	chr12:49892004-49902004	-2.906	0.076	-6.885	-5.841	1.759	-2.398	FuLi_D:ITU:-6.885	FuLi_D	ITU	PopHumanScan
PRPF40B,FMNL3	chr12	50026805	50036805	chr12:50026805-50036805	-2.589	0.032	-7.438	-6.41	2.784	-2.476	FuLi_D:TSI:-7.438,FuLi_F:PJL:-5.696,TSI:-6.41	FuLi_D,FuLi_F	TSI,PJL	PopHumanScan
KRT85	chr12	52750138	52760138	chr12:52750138-52760138	0.783	0.049	-5.93	-4.575	0.925	1.561	FuLi_D:LWK:-5.93	FuLi_D	LWK	PopHumanScan
KRT6B	chr12	52845819	52855819	chr12:52845819-52855819	-1.451	0.091	-2.276	2.237	4.349	3.025	iHS:BEB:3.299,CDX:3.561,CHB:4.02,CHS:3.69,JPT:4.349,KHV:3.205	iHS	BEB,CDX,CHB,CHS,JPT,KHV	PopHumanScan
nonCoding63661	chr12	53236868	53256868	chr12:53236868-53256868	-7.595	0.164	-4.917	-4.388	1.898	-2.61	FayWu_H:FIN:-7.595,IBS:-7.127,TSI:-7.452,Tajima_D:CEU:-2.61	FayWu_H,Tajima_D	FIN,IBS,TSI,CEU	PopHumanScan
SOAT2	chr12	53503649	53552011	chr12:53503649-53552011	-4.038	0.051	-3.414	-3.182	3.864	1.647	iHS:CEU:3.832,GBR:3.249,TSI:3.864	iHS	CEU,GBR,TSI	PopHumanScan
nonCoding63672	chr12	54201984	54221984	chr12:54201984-54221984	-2.783	0.178	-7.882	-6.682	1.273	3.332	FuLi_D:CHB:-7.882,FuLi_F:CHB:-6.682	FuLi_D,FuLi_F	CHB	PopHumanScan
nonCoding63676	chr12	54255706	54265706	chr12:54255706-54265706	-2.273	0.172	2.184	2.6	2.39	2.776	FuLi_D:ITU:2.184	FuLi_D	ITU	PopHumanScan
CBX5	chr12	54628002	54638002	chr12:54628002-54638002	-0.623	0.025	-5.566	-4.614	1.903	-2.245	FuLi_F:MSL:-4.614	FuLi_F	MSL	PopHumanScan
CBX5	chr12	54654625	54664625	chr12:54654625-54664625	-2.725	0.027	-6.142	-5.388	1.787	-2.212	FuLi_D:LWK:-6.142,FuLi_F:LWK:-5.388	FuLi_D,FuLi_F	LWK	PopHumanScan
NFE2,HNRNPA1	chr12	54679667	54689667	chr12:54679667-54689667	-2.787	0.04	-5.802	-5.191	2.248	-2.441	FuLi_D:LWK:-5.802,FuLi_F:LWK:-5.191,Tajima_D:LWK:-2.441	FuLi_D,FuLi_F,Tajima_D	LWK	PopHumanScan
TESPA1	chr12	55335901	55382905	chr12:55335901-55382905	-4.918	0.383	1.847	2.992	2.255	3.811	Fst:CEU2CHB:0.383	Fst	CEU2CHB	PopHumanScan
nonCoding63716,nonCoding63714	chr12	55712536	55818904	chr12:55712536-55818904	11.566	0.078	-2.548	28.769	1.427	78.163	FuLi_F:ASW:16.609,CDX:18.215,CEU:13.336,CHB:17.262,CHS:18.258,FIN:13.226,GBR:13.53,GWD:15.663,ITU:14.688,JPT:19.771,KHV:28.769,MSL:16.945,STU:15.223,YRI:15.958,Tajima_D:ASW:46.798,CDX:51.67,CEU:35.098,CHB:46.396,CHS:51.355,ESN:41.524,FIN:35.367,GBR:36.496,GWD:42.138,ITU:39.683,JPT:51.358,KHV:78.163,MSL:46.293,STU:41.787,TSI:35.538,YRI:42.709	FuLi_F,Tajima_D	ASW,CDX,CEU,CHB,CHS,FIN,GBR,GWD,ITU,JPT,KHV,MSL,STU,YRI,ESN,TSI	PopHumanScan
OR6C70	chr12	55855086	55865086	chr12:55855086-55865086	8.798	0.058	-1.462	13.765	1.144	34.22	FuLi_F:CEU:13.765,GBR:13.418,TSI:13.684,Tajima_D:CEU:34.22,GBR:33.468	FuLi_F,Tajima_D	CEU,GBR,TSI	PopHumanScan
SARNP,AC023055.1	chr12	56168702	56178702	chr12:56168702-56178702	-1.745	0.031	-5.931	-5.034	0.979	-2.335	FuLi_F:ASW:-5.034	FuLi_F	ASW	PopHumanScan
CS,COQ10A	chr12	56660996	56670996	chr12:56660996-56670996	-2.258	0.046	-7.897	-6.763	1.57	-2.384	FuLi_D:ITU:-7.897,FuLi_F:ITU:-6.763	FuLi_D,FuLi_F	ITU	PopHumanScan
nonCoding63725,nonCoding63726	chr12	56762033	56782033	chr12:56762033-56782033	-5.353	0.097	-6.35	-5.761	1.395	-2.647	Tajima_D:CEU:-2.608,STU:-2.647	Tajima_D	CEU,STU	PopHumanScan
RBMS2	chr12	56921567	56931567	chr12:56921567-56931567	-1.204	0.112	2.179	3.486	3.299	3.761	iHS:CHB:3.299	iHS	CHB	PopHumanScan
MYO1A	chr12	57430520	57440520	chr12:57430520-57440520	-0.572	0.016	-6.308	-5.253	1.924	-2.321	FuLi_F:ACB:-5.253	FuLi_F	ACB	PopHumanScan
AVIL,CTDSP2	chr12	58208913	58218913	chr12:58208913-58218913	-1.869	0.037	-7.484	-5.098	1.307	-2.228	FuLi_D:IBS:-7.484,LWK:-5.797,FuLi_F:LWK:-5.098	FuLi_D,FuLi_F	IBS,LWK	PopHumanScan
nonCoding63750,nonCoding63751,nonCoding63752,nonCoding63753	chr12	58393761	58443761	chr12:58393761-58443761	-1.721	0.051	-3.907	2.445	4.035	3.744	iHS:CDX:3.234,CHB:4.035,CHS:3.73,JPT:3.487,KHV:3.625	iHS	CDX,CHB,CHS,JPT,KHV	PopHumanScan
nonCoding63766	chr12	58593718	58603718	chr12:58593718-58603718	-5.521	0.032	-3.399	-3.334	0.86	-2.044	FayWu_H:ACB:-5.166,ASW:-4.711,ESN:-5.007,GWD:-5.521,LWK:-5.192,MSL:-4.883,YRI:-5.408	FayWu_H	ACB,ASW,ESN,GWD,LWK,MSL,YRI	PopHumanScan
nonCoding64011	chr12	63605629	63615629	chr12:63605629-63615629	-3.938	0.128	2.324	-4.398	0.946	2.36	FuLi_D:CDX:2.324	FuLi_D	CDX	PopHumanScan
nonCoding64070	chr12	66081709	66091709	chr12:66081709-66091709	-3.551	0.067	-4.177	-3.863	3.048	-2.264	XPEHH:CEU2CHB:1.717	XPEHH	CEU2CHB	PopHumanScan
nonCoding64102	chr12	67303068	67313068	chr12:67303068-67313068	-1.58	0.031	-6.447	-5.278	1.364	-2.213	FuLi_D:ACB:-6.447,FuLi_F:ACB:-5.278	FuLi_D,FuLi_F	ACB	PopHumanScan
LGR5	chr12	71871258	71881258	chr12:71871258-71881258	-4.078	0.058	-7.798	-6.521	1.519	-2.666	FuLi_D:CHB:-7.798,FuLi_F:CHB:-6.521,Tajima_D:CHB:-2.666	FuLi_D,FuLi_F,Tajima_D	CHB	PopHumanScan
TRHDE,TPH2	chr12	72509029	72519029	chr12:72509029-72519029	-6.063	0.015	-5.372	-5.002	2.073	-2.59	FayWu_H:ACB:-6.063,ESN:-5.642,GWD:-5.649,MSL:-5.303,YRI:-5.46	FayWu_H	ACB,ESN,GWD,MSL,YRI	PopHumanScan
TRHDE,TPH2	chr12	72548099	72558099	chr12:72548099-72558099	-7.491	0.026	-4.645	-4.499	1.841	-2.599	FayWu_H:FIN:-7.491	FayWu_H	FIN	PopHumanScan
TRHDE	chr12	72947618	73001675	chr12:72947618-73001675	-3.551	0.244	1.831	3.185	1.248	4.103	Fst:CEU2YRI:0.244	Fst	CEU2YRI	PopHumanScan
nonCoding64426	chr12	75606387	75616387	chr12:75606387-75616387	-2.284	0.039	-5.786	-4.791	0.832	-1.873	FuLi_D:MSL:-5.786,FuLi_F:MSL:-4.791	FuLi_D,FuLi_F	MSL	PopHumanScan
NAV3,AC073528.1	chr12	77938976	77948976	chr12:77938976-77948976	-2.155	0.103	2.383	2.918	1.781	3.742	FuLi_D:CDX:2.383	FuLi_D	CDX	PopHumanScan
NAV3	chr12	78073341	78112670	chr12:78073341-78112670	-3.973	0.08	-5.919	-5.356	2.116	-2.674	Tajima_D:ITU:-2.674	Tajima_D	ITU	PopHumanScan
nonCoding64562	chr12	79067687	79107111	chr12:79067687-79107111	-3.64	0.04	-6.286	-5.701	1.849	-2.648	Tajima_D:BEB:-2.648	Tajima_D	BEB	PopHumanScan
nonCoding64565	chr12	79112520	79132520	chr12:79112520-79132520	-2.213	0.039	-8.247	-7.137	1.358	-2.628	FuLi_D:BEB:-8.247,PJL:-6.488,FuLi_F:BEB:-7.137,PJL:-5.929	FuLi_D,FuLi_F	BEB,PJL	PopHumanScan
SYT1	chr12	79467507	79477507	chr12:79467507-79477507	-3.173	0.021	-5.833	-5.16	2.593	-2.461	Tajima_D:ASW:-2.461	Tajima_D	ASW	PopHumanScan
SYT1	chr12	79618594	79680753	chr12:79618594-79680753	-0.832	0.075	-3.17	-2.825	3.251	2.074	iHS:LWK:3.251	iHS	LWK	PopHumanScan
METTL25,CCDC59	chr12	82752725	82762725	chr12:82752725-82762725	-3.166	0.032	-6.966	-6.212	1.608	-2.617	FuLi_F:CHS:-6.212	FuLi_F	CHS	PopHumanScan
nonCoding64647	chr12	83034547	83067773	chr12:83034547-83067773	-2.599	0.026	-4.312	-3.679	3.226	-1.72	iHS:LWK:3.226	iHS	LWK	PopHumanScan
TMTC2	chr12	83158360	83168360	chr12:83158360-83168360	-6.89	0.121	-5.706	-5.255	2.246	-2.802	Tajima_D:CHS:-2.66,KHV:-2.802	Tajima_D	CHS,KHV	PopHumanScan
TMTC2	chr12	83209243	83219243	chr12:83209243-83219243	-3.017	0.072	-6.521	-5.875	2.213	-2.546	FuLi_F:JPT:-5.875	FuLi_F	JPT	PopHumanScan
TMTC2	chr12	83364294	83374294	chr12:83364294-83374294	-6.727	0.063	-5.311	-4.743	1.961	-2.136	FayWu_H:ITU:-6.727	FayWu_H	ITU	PopHumanScan
nonCoding64660	chr12	83660160	83680160	chr12:83660160-83680160	-3.088	0.069	2.161	2.88	1.259	2.663	FuLi_D:CHB:1.979,CHS:2.161	FuLi_D	CHB,CHS	PopHumanScan
nonCoding64726	chr12	84654302	84664302	chr12:84654302-84664302	-4.188	0.144	2.339	2.949	1.105	3.274	FuLi_D:GWD:2.339	FuLi_D	GWD	PopHumanScan
SLC6A15	chr12	85302460	85312460	chr12:85302460-85312460	-3.96	0.123	-7.841	-6.181	1.869	-2.399	FuLi_D:TSI:-7.841,FuLi_F:TSI:-6.181	FuLi_D,FuLi_F	TSI	PopHumanScan
nonCoding64824	chr12	87551190	87561190	chr12:87551190-87561190	-1.974	0.024	-6.272	-5.406	1.72	-2.427	Tajima_D:ACB:-2.427	Tajima_D	ACB	PopHumanScan
nonCoding64830	chr12	87615960	87635960	chr12:87615960-87635960	-4.448	0.032	-5.014	-4.476	1.797	-2.506	Tajima_D:ESN:-2.506,LWK:-2.48	Tajima_D	ESN,LWK	PopHumanScan
C12orf50	chr12	88387924	88397924	chr12:88387924-88397924	-5.994	0.103	-4.358	-4.382	1.259	-2.631	Tajima_D:CHS:-2.631	Tajima_D	CHS	PopHumanScan
nonCoding64887	chr12	88699551	88709551	chr12:88699551-88709551	-7.2	0.196	-3.552	-3.768	1.294	-2.607	FayWu_H:CHB:-7.2	FayWu_H	CHB	PopHumanScan
KITLG	chr12	88894586	88904586	chr12:88894586-88904586	-1.353	0.013	-5.782	-5.236	1.551	-2.472	Tajima_D:ACB:-2.438,LWK:-2.472	Tajima_D	ACB,LWK	PopHumanScan
nonCoding64905,nonCoding64906	chr12	89080566	89140630	chr12:89080566-89140630	-5.097	0.067	-5.627	-5.242	3.411	-2.561	iHS:ITU:3.411,XPEHH:CEU2YRI:2.651	iHS,XPEHH	ITU,CEU2YRI	PopHumanScan
nonCoding65216	chr12	94456974	94466974	chr12:94456974-94466974	-6.18	0.04	2.285	-3.755	0.962	-2.199	FuLi_D:CEU:2.285	FuLi_D	CEU	PopHumanScan
nonCoding65230	chr12	94946794	94956794	chr12:94946794-94956794	1.598	0.069	2.072	3.286	0.926	3.6	FuLi_D:IBS:2.072	FuLi_D	IBS	PopHumanScan
NTN4	chr12	96158282	96168282	chr12:96158282-96168282	-3.769	0.097	2.251	3.12	1.062	3.253	FuLi_D:ITU:2.251	FuLi_D	ITU	PopHumanScan
CDK17	chr12	96715721	96735721	chr12:96715721-96735721	-0.852	0.023	-3.917	-3.587	3.513	-1.707	iHS:FIN:3.375,GBR:3.405,IBS:3.229,TSI:3.513	iHS	FIN,GBR,IBS,TSI	PopHumanScan
nonCoding65403	chr12	100550935	100560935	chr12:100550935-100560935	-0.825	0.047	-7.515	-6.511	2.287	-2.479	FuLi_D:CHB:-7.515,FuLi_F:CHB:-6.511	FuLi_D,FuLi_F	CHB	PopHumanScan
NR1H4	chr12	100889813	100937784	chr12:100889813-100937784	-2.922	0.075	-7.501	-6.425	1.558	-2.606	FuLi_D:CEU:-7.501,GBR:-6.362,FuLi_F:CEU:-6.425,GBR:-5.617,Tajima_D:CEU:-2.606	FuLi_D,FuLi_F,Tajima_D	CEU,GBR	PopHumanScan
DRAM1	chr12	102284554	102294554	chr12:102284554-102294554	-1.025	0.103	2.4	3.344	3.097	4.161	iHS:IBS:3.097	iHS	IBS	PopHumanScan
C12orf42	chr12	103734888	103760922	chr12:103734888-103760922	1.784	0.072	-3.99	-2.686	1.811	1.76	XPEHH:CEU2YRI:2.59	XPEHH	CEU2YRI	PopHumanScan
nonCoding65565	chr12	106416882	106426882	chr12:106416882-106426882	-1.802	0.086	-6.425	-5.775	2.531	-2.615	FuLi_F:CDX:-5.775	FuLi_F	CDX	PopHumanScan
RIC8B	chr12	107257275	107267275	chr12:107257275-107267275	-1.906	0.032	-7.713	-6.368	1.438	-2.148	FuLi_D:CHS:-7.713,FuLi_F:CHS:-6.368	FuLi_D,FuLi_F	CHS	PopHumanScan
SVOP	chr12	109423480	109433480	chr12:109423480-109433480	-6.381	0.123	2.103	-2.539	0	2.662	FuLi_D:KHV:2.103	FuLi_D	KHV	PopHumanScan
nonCoding65662	chr12	110676341	110686341	chr12:110676341-110686341	-4.657	0.03	-5.966	-5.514	1.729	-2.644	Tajima_D:BEB:-2.644	Tajima_D	BEB	PopHumanScan
ATP2A2	chr12	110746983	110756983	chr12:110746983-110756983	-2.955	0.042	-6.247	-5.293	1.044	-2.378	FuLi_D:GWD:-6.247,FuLi_F:GWD:-5.293	FuLi_D,FuLi_F	GWD	PopHumanScan
ATP2A2	chr12	110767456	110794887	chr12:110767456-110794887	-1.878	0.024	-7.878	-6.836	1.09	-2.493	FuLi_D:CHB:-7.878,FuLi_F:CHB:-6.836,PJL:-5.709	FuLi_D,FuLi_F	CHB,PJL	PopHumanScan
VPS29,RAD9B	chr12	110935069	110945069	chr12:110935069-110945069	-2.256	0.054	-7.392	-6.038	2.237	-2.137	FuLi_D:TSI:-7.392	FuLi_D	TSI	PopHumanScan
PPTC7	chr12	110991549	111001549	chr12:110991549-111001549	-1.936	0.034	-6.825	-5.938	2.007	-2.342	FuLi_D:PJL:-6.825,FuLi_F:PJL:-5.938	FuLi_D,FuLi_F	PJL	PopHumanScan
nonCoding65676,nonCoding65677	chr12	111435907	111455907	chr12:111435907-111455907	-5.672	0.1	-7.142	-6.226	0.858	-2.631	FuLi_F:TSI:-6.226,Tajima_D:TSI:-2.631	FuLi_F,Tajima_D	TSI	PopHumanScan
nonCoding65678	chr12	111456135	111466135	chr12:111456135-111466135	-3.162	0.053	-6.967	-6.27	1.119	-2.506	FuLi_D:ITU:-6.967,FuLi_F:ITU:-6.27	FuLi_D,FuLi_F	ITU	PopHumanScan
CUX2	chr12	111474740	111494740	chr12:111474740-111494740	-3.741	0.087	-7.182	-6.21	1.395	-2.758	FuLi_D:CEU:-7.182,FuLi_F:CEU:-6.21,Tajima_D:CEU:-2.758,IBS:-2.714	FuLi_D,FuLi_F,Tajima_D	CEU,IBS	PopHumanScan
ATXN2,SH2B3	chr12	111713158	112011420	chr12:111713158-112011420	-4.041	0.139	-6.852	-5.614	5.128	-2.144	iHS:CEU:3.447,GBR:4.358,IBS:4.452,TSI:5.128	iHS	CEU,GBR,IBS,TSI	PopHumanScan
RPL6,PTPN11	chr12	112857123	112867123	chr12:112857123-112867123	-2.12	0.107	-7.364	-6.126	1.99	-2.298	FuLi_D:BEB:-7.364	FuLi_D	BEB	PopHumanScan
nonCoding65684	chr12	112957212	112978489	chr12:112957212-112978489	-3.644	0.313	-2.42	-2.366	1.531	1.938	Fst:CEU2CHB:0.313	Fst	CEU2CHB	PopHumanScan
OAS1	chr12	113360155	113370155	chr12:113360155-113370155	-4.694	0.223	-2.277	2.727	2.291	3.83	Fst:CEU2YRI:0.223	Fst	CEU2YRI	PopHumanScan
